InventoryLegSK	CarrierCode	FlightNumber	DepartureAirport	ArrivalAirport	DepartureDateTimeLocal	DepartureDateTimeUTC	ArrivalDateTimeLocal	ArrivalDateTimeUTC	ArrivalCountry	DepartureCountry	RouteGroup	Region	FlightCapacity	FlightStatus
9153888	FR	144	BER	STN	2022-06-15 06:30:00	2022-06-15 04:30:00	2022-06-15 07:20:00	2022-06-15 06:20:00	United Kingdom	Germany	CITY	LON CITY MULTI	189	Departed
9857561	FR	6833	EIN	NAP	2022-07-28 12:20:00	2022-07-28 10:20:00	2022-07-28 14:35:00	2022-07-28 12:35:00	Italy	Netherlands	LEISURE	BENLFR LEISURE	189	Departed
9527383	FR	8973	BRI	CTA	2022-04-24 19:25:00	2022-04-24 17:25:00	2022-04-24 20:35:00	2022-04-24 18:35:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
9118423	FR	1025	DUB	BUD	2022-09-12 13:25:00	2022-09-12 12:25:00	2022-09-12 17:15:00	2022-09-12 15:15:00	Hungary	Ireland	CITY	IE CITY	189	Cancelled
9897668	FR	4150	PMI	HHN	2022-07-03 19:15:00	2022-07-03 17:15:00	2022-07-03 21:30:00	2022-07-03 19:30:00	Germany	Spain	LEISURE	DE LEISURE	189	Departed
9501035	FR	7851	KBP	BLQ	2022-06-21 10:40:00	2022-06-21 07:40:00	2022-06-21 12:25:00	2022-06-21 10:25:00	Italy	Ukraine	CITY	EAST-ESFRIT	189	Cancelled
9088676	FR	7185	PMI	HAM	2022-05-14 16:35:00	2022-05-14 14:35:00	2022-05-14 19:15:00	2022-05-14 17:15:00	Germany	Spain	LEISURE	DE LEISURE	180	Departed
9093720	FR	5710	BCN	NAP	2022-07-16 11:05:00	2022-07-16 09:05:00	2022-07-16 12:55:00	2022-07-16 10:55:00	Italy	Spain	CITY	ESPT-IT	189	Departed
8996668	FR	9674	MAD	CIA	2022-09-14 06:35:00	2022-09-14 04:35:00	2022-09-14 08:50:00	2022-09-14 06:50:00	Italy	Spain	CITY	ESPT-IT	189	Cancelled
9409364	FR	8241	TSF	BRS	2022-05-22 15:40:00	2022-05-22 13:40:00	2022-05-22 17:00:00	2022-05-22 16:00:00	United Kingdom	Italy	CITY	UK REG CITY	189	Departed
9594696	FR	4207	LPL	CPH	2022-08-08 18:05:00	2022-08-08 17:05:00	2022-08-08 21:00:00	2022-08-08 19:00:00	Denmark	United Kingdom	CITY	UK REG CITY	189	Cancelled
9677677	FR	4861	FCO	CTA	2022-07-15 13:05:00	2022-07-15 11:05:00	2022-07-15 14:20:00	2022-07-15 12:20:00	Italy	Italy	DOMESTIC	ROM DOM	189	Departed
9873003	FR	787	EIN	BLQ	2022-04-01 11:25:00	2022-04-01 09:25:00	2022-04-01 13:00:00	2022-04-01 11:00:00	Italy	Netherlands	CITY	BENL-FRIT	189	Departed
9110483	FR	6324	BGY	SOF	2022-05-19 07:45:00	2022-05-19 05:45:00	2022-05-19 10:40:00	2022-05-19 07:40:00	Bulgaria	Italy	CITY	EAST-ESFRIT	189	Cancelled
9086271	FR	3056	MAD	MAH	2022-09-09 19:05:00	2022-09-09 17:05:00	2022-09-09 20:35:00	2022-09-09 18:35:00	Spain	Spain	DOMESTIC	BCNMAD DOM	189	Departed
9652062	FR	3875	MLA	TSF	2022-08-14 12:10:00	2022-08-14 10:10:00	2022-08-14 14:00:00	2022-08-14 12:00:00	Italy	Malta	LEISURE	S EUR LEISURE	197	Departed
9454839	FR	9501	MAN	ZAD	2022-04-05 19:35:00	2022-04-05 18:35:00	2022-04-05 23:10:00	2022-04-05 21:10:00	Croatia	United Kingdom	LEISURE	UK REG LEISURE	180	Cancelled
9833679	FR	2621	ZAD	HEL	2022-07-29 17:10:00	2022-07-29 15:10:00	2022-07-29 21:10:00	2022-07-29 18:10:00	Finland	Croatia	LEISURE	SCAN LEISURE	180	Departed
10112186	FR	2325	LBA	GRO	2022-09-21 15:45:00	2022-09-21 14:45:00	2022-09-21 19:05:00	2022-09-21 17:05:00	Spain	United Kingdom	LEISURE	UK REG LEISURE	189	Departed
9207706	FR	5392	BGY	SUF	2022-05-15 16:30:00	2022-05-15 14:30:00	2022-05-15 18:05:00	2022-05-15 16:05:00	Italy	Italy	DOMESTIC	MIL DOM	189	Cancelled
9567822	FR	6294	OPO	CFE	2022-07-13 13:20:00	2022-07-13 12:20:00	2022-07-13 16:15:00	2022-07-13 14:15:00	France	Portugal	CITY	ESPT-FR	189	Departed
9598374	FR	8504	NTE	STN	2022-07-06 16:05:00	2022-07-06 14:05:00	2022-07-06 16:25:00	2022-07-06 15:25:00	United Kingdom	France	CITY	LON CITY	189	Departed
8988145	FR	7073	OPO	DUB	2022-07-30 17:50:00	2022-07-30 16:50:00	2022-07-30 20:05:00	2022-07-30 19:05:00	Ireland	Portugal	CITY	IE CITY	189	Cancelled
9751580	FR	753	BLQ	AHO	2022-06-19 11:00:00	2022-06-19 09:00:00	2022-06-19 12:10:00	2022-06-19 10:10:00	Italy	Italy	DOMESTIC	IT DOM	197	Departed
9181059	FR	4664	VLC	BGY	2022-05-29 13:00:00	2022-05-29 11:00:00	2022-05-29 14:55:00	2022-05-29 12:55:00	Italy	Spain	CITY	ESPT-IT	189	Departed
9654362	FR	5024	PSA	BUD	2022-08-29 10:10:00	2022-08-29 08:10:00	2022-08-29 11:45:00	2022-08-29 09:45:00	Hungary	Italy	CITY	EAST-ESFRIT	189	Departed
9848443	FR	9945	PSA	WMI	2022-06-19 19:05:00	2022-06-19 17:05:00	2022-06-19 21:15:00	2022-06-19 19:15:00	Poland	Italy	CITY	EAST-ESFRIT	189	Departed
9168660	FR	3747	CRL	PSA	2022-06-24 21:15:00	2022-06-24 19:15:00	2022-06-24 22:55:00	2022-06-24 20:55:00	Italy	Belgium	CITY	BENL-FRIT	189	Cancelled
9523015	FR	8653	TPS	TSF	2022-05-09 19:40:00	2022-05-09 17:40:00	2022-05-09 21:20:00	2022-05-09 19:20:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
9369936	FR	418	NCL	IBZ	2022-05-30 16:55:00	2022-05-30 15:55:00	2022-05-30 20:45:00	2022-05-30 18:45:00	Spain	United Kingdom	LEISURE	UK REG LEISURE	189	Departed
9145452	FR	1145	MAN	BER	2022-07-11 12:55:00	2022-07-11 11:55:00	2022-07-11 15:50:00	2022-07-11 13:50:00	Germany	United Kingdom	CITY	UK REG CITY	189	Departed
9660121	FR	5832	BOD	BGY	2022-09-15 20:50:00	2022-09-15 18:50:00	2022-09-15 22:25:00	2022-09-15 20:25:00	Italy	France	CITY	FR-IT	189	Departed
9796991	FR	4722	BGY	BLL	2022-05-09 19:45:00	2022-05-09 17:45:00	2022-05-09 21:50:00	2022-05-09 19:50:00	Denmark	Italy	CITY	SCAN-ESIT	189	Departed
9806234	FR	8986	SCQ	FMM	2022-09-22 19:15:00	2022-09-22 17:15:00	2022-09-22 21:50:00	2022-09-22 19:50:00	Germany	Spain	LEISURE	DE LEISURE	189	Departed
9779412	FR	8334	BGY	IBZ	2022-08-12 11:20:00	2022-08-12 09:20:00	2022-08-12 13:10:00	2022-08-12 11:10:00	Spain	Italy	LEISURE	S EUR LEISURE	189	Departed
9461077	FR	4606	KUN	ARN	2022-04-26 14:15:00	2022-04-26 11:15:00	2022-04-26 14:40:00	2022-04-26 12:40:00	Sweden	Lithuania	CITY	SCAN N EUR	189	Departed
9764133	FR	1957	FAO	EMA	2022-09-20 10:50:00	2022-09-20 09:50:00	2022-09-20 13:40:00	2022-09-20 12:40:00	United Kingdom	Portugal	LEISURE	UK REG LEISURE	189	Departed
9074527	FR	6005	MRS	LIL	2022-04-05 11:10:00	2022-04-05 09:10:00	2022-04-05 12:45:00	2022-04-05 10:45:00	France	France	DOMESTIC	OTHER DOM	189	Departed
8960162	FR	7054	DUB	AGP	2022-06-14 17:15:00	2022-06-14 16:15:00	2022-06-14 21:10:00	2022-06-14 19:10:00	Spain	Ireland	LEISURE	IE LEISURE	197	Departed
9542929	FR	5621	SVQ	LTN	2022-09-20 22:05:00	2022-09-20 20:05:00	2022-09-20 23:45:00	2022-09-20 22:45:00	United Kingdom	Spain	LEISURE	LON LEISURE	189	Departed
10115905	FR	4772	CGN	ARN	2022-05-15 13:30:00	2022-05-15 11:30:00	2022-05-15 15:35:00	2022-05-15 13:35:00	Sweden	Germany	CITY	SCAN N EUR	189	Departed
9479618	FR	5718	WMI	BLQ	2022-05-21 14:55:00	2022-05-21 12:55:00	2022-05-21 17:00:00	2022-05-21 15:00:00	Italy	Poland	CITY	EAST-ESFRIT	189	Departed
8951622	FR	5483	OPO	MAD	2022-04-06 06:30:00	2022-04-06 05:30:00	2022-04-06 08:40:00	2022-04-06 06:40:00	Spain	Portugal	DOMESTIC	BCNMAD DOM	189	Departed
10140096	FR	8258	PRG	ZAD	2022-09-30 21:55:00	2022-09-30 19:55:00	2022-09-30 23:15:00	2022-09-30 21:15:00	Croatia	Czech Republic	LEISURE	CE EUR LEISURE	189	Departed
9619037	FR	9398	VNO	CIA	2022-07-19 07:00:00	2022-07-19 04:00:00	2022-07-19 08:40:00	2022-07-19 06:40:00	Italy	Lithuania	CITY	EAST-ESFRIT	189	Departed
8921624	FR	9163	BHX	BCN	2022-05-04 16:00:00	2022-05-04 15:00:00	2022-05-04 19:10:00	2022-05-04 17:10:00	Spain	United Kingdom	LEISURE	UK REG LEISURE	189	Departed
9449822	FR	3544	NTE	MAN	2022-04-06 17:00:00	2022-04-06 15:00:00	2022-04-06 17:30:00	2022-04-06 16:30:00	United Kingdom	France	CITY	UK REG CITY	197	Departed
9477983	FR	4105	WRO	GDN	2022-05-31 06:40:00	2022-05-31 04:40:00	2022-05-31 07:45:00	2022-05-31 05:45:00	Poland	Poland	DOMESTIC	OTHER DOM	189	Cancelled
9444246	FR	3347	TFN	ALC	2022-05-27 11:20:00	2022-05-27 10:20:00	2022-05-27 15:05:00	2022-05-27 13:05:00	Spain	Spain	DOMESTIC	ES CANARY	189	Departed
9176951	FR	8332	BGY	IBZ	2022-09-06 08:00:00	2022-09-06 06:00:00	2022-09-06 09:50:00	2022-09-06 07:50:00	Spain	Italy	LEISURE	S EUR LEISURE	189	Cancelled
9188696	FR	4871	CTA	FCO	2022-05-04 12:05:00	2022-05-04 10:05:00	2022-05-04 13:30:00	2022-05-04 11:30:00	Italy	Italy	DOMESTIC	ROM DOM	189	Departed
9213045	FR	9779	BDS	PSA	2022-09-11 20:35:00	2022-09-11 18:35:00	2022-09-11 22:00:00	2022-09-11 20:00:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
9191364	FR	4908	FCO	PMO	2022-09-13 22:00:00	2022-09-13 20:00:00	2022-09-13 23:05:00	2022-09-13 21:05:00	Italy	Italy	DOMESTIC	ROM DOM	189	Departed
9098132	FR	1302	CRL	NAP	2022-05-31 11:10:00	2022-05-31 09:10:00	2022-05-31 13:20:00	2022-05-31 11:20:00	Italy	Belgium	LEISURE	BENLFR LEISURE	189	Departed
9174576	FR	3019	CIA	CGN	2022-07-14 14:25:00	2022-07-14 12:25:00	2022-07-14 16:20:00	2022-07-14 14:20:00	Germany	Italy	CITY	DE-FRITIE	189	Cancelled
9155155	FR	167	BRU	BER	2022-06-27 20:45:00	2022-06-27 18:45:00	2022-06-27 22:15:00	2022-06-27 20:15:00	Germany	Belgium	CITY	DE-FRITIE	189	Cancelled
9629137	FR	3371	WMI	BOJ	2022-07-14 20:15:00	2022-07-14 18:15:00	2022-07-14 23:20:00	2022-07-14 20:20:00	Bulgaria	Poland	LEISURE	CE EUR LEISURE	189	Departed
9497284	FR	5715	SKG	NRN	2022-05-31 21:00:00	2022-05-31 18:00:00	2022-05-31 22:50:00	2022-05-31 20:50:00	Germany	Greece	LEISURE	DE LEISURE	189	Departed
9117011	FR	6309	CIA	SOF	2022-08-12 13:50:00	2022-08-12 11:50:00	2022-08-12 16:30:00	2022-08-12 13:30:00	Bulgaria	Italy	CITY	EAST-ESFRIT	189	Departed
8944912	FR	6362	BCN	PMI	2022-05-21 08:10:00	2022-05-21 06:10:00	2022-05-21 09:00:00	2022-05-21 07:00:00	Spain	Spain	DOMESTIC	BCNMAD DOM	189	Departed
9145664	FR	8664	CGN	PMI	2022-05-06 06:00:00	2022-05-06 04:00:00	2022-05-06 08:15:00	2022-05-06 06:15:00	Spain	Germany	LEISURE	DE LEISURE	189	Departed
9478956	FR	4056	WMI	BVA	2022-05-30 06:45:00	2022-05-30 04:45:00	2022-05-30 09:05:00	2022-05-30 07:05:00	France	Poland	CITY	EAST-ESFRIT	189	Departed
9111531	FR	2319	BTS	STN	2022-08-19 18:00:00	2022-08-19 16:00:00	2022-08-19 19:15:00	2022-08-19 18:15:00	United Kingdom	Slovakia	CITY	LON CITY MULTI	189	Cancelled
9476773	FR	2020	BUD	PMO	2022-05-25 14:40:00	2022-05-25 12:40:00	2022-05-25 16:40:00	2022-05-25 14:40:00	Italy	Hungary	LEISURE	CE EUR LEISURE	189	Departed
9159165	FR	9635	CIA	BVA	2022-08-01 18:20:00	2022-08-01 16:20:00	2022-08-01 20:25:00	2022-08-01 18:25:00	France	Italy	CITY	FR-IT	189	Cancelled
9674685	FR	7869	HRK	BGY	2022-09-01 13:15:00	2022-09-01 10:15:00	2022-09-01 15:25:00	2022-09-01 13:25:00	Italy	Ukraine	CITY	EAST-ESFRIT	189	Cancelled
10088603	FR	9006	ORK	REU	2022-09-17 17:30:00	2022-09-17 16:30:00	2022-09-17 20:50:00	2022-09-17 18:50:00	Spain	Ireland	LEISURE	IE LEISURE	189	Departed
9472822	FR	3848	VNO	TSF	2022-05-22 14:20:00	2022-05-22 11:20:00	2022-05-22 15:40:00	2022-05-22 13:40:00	Italy	Lithuania	CITY	EAST-ESFRIT	189	Departed
8948412	FR	6304	BGY	BCN	2022-09-25 13:40:00	2022-09-25 11:40:00	2022-09-25 15:15:00	2022-09-25 13:15:00	Spain	Italy	CITY	ESPT-IT	189	Departed
9400470	FR	9872	KRK	ALC	2022-06-08 19:05:00	2022-06-08 17:05:00	2022-06-08 22:25:00	2022-06-08 20:25:00	Spain	Poland	LEISURE	CE EUR LEISURE	189	Departed
9839923	FR	7977	KGS	BGY	2022-08-28 11:40:00	2022-08-28 08:40:00	2022-08-28 13:35:00	2022-08-28 11:35:00	Italy	Greece	LEISURE	S EUR LEISURE	189	Departed
9140478	FR	9867	PMI	HHN	2022-09-03 16:25:00	2022-09-03 14:25:00	2022-09-03 18:40:00	2022-09-03 16:40:00	Germany	Spain	LEISURE	DE LEISURE	189	Departed
9859737	FR	3966	BLQ	CAG	2022-06-07 09:55:00	2022-06-07 07:55:00	2022-06-07 11:15:00	2022-06-07 09:15:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9796511	FR	8832	BDS	EIN	2022-09-23 14:35:00	2022-09-23 12:35:00	2022-09-23 17:05:00	2022-09-23 15:05:00	Netherlands	Italy	LEISURE	BENLFR LEISURE	189	Departed
9415155	FR	5052	VLC	FKB	2022-07-04 10:30:00	2022-07-04 08:30:00	2022-07-04 12:40:00	2022-07-04 10:40:00	Germany	Spain	CITY	DE-ESPT	189	Departed
8971649	FR	6653	AGP	EDI	2022-06-15 21:35:00	2022-06-15 19:35:00	2022-06-15 23:50:00	2022-06-15 22:50:00	United Kingdom	Spain	LEISURE	SCOT LEISURE	189	Departed
9432569	FR	7417	FAO	BVA	2022-05-10 06:55:00	2022-05-10 05:55:00	2022-05-10 10:30:00	2022-05-10 08:30:00	France	Portugal	LEISURE	BENLFR LEISURE	189	Departed
9413069	FR	6826	EDI	FAO	2022-07-03 12:05:00	2022-07-03 11:05:00	2022-07-03 15:15:00	2022-07-03 14:15:00	Portugal	United Kingdom	LEISURE	SCOT LEISURE	189	Departed
9036193	FR	9772	STN	FKB	2022-08-06 16:05:00	2022-08-06 15:05:00	2022-08-06 18:30:00	2022-08-06 16:30:00	Germany	United Kingdom	CITY	LON CITY	189	Departed
9014138	FR	4585	BCN	OPO	2022-04-08 10:05:00	2022-04-08 08:05:00	2022-04-08 10:55:00	2022-04-08 09:55:00	Portugal	Spain	DOMESTIC	BCNMAD DOM	189	Departed
9155771	FR	2693	LIS	CIA	2022-08-12 19:10:00	2022-08-12 18:10:00	2022-08-12 22:55:00	2022-08-12 20:55:00	Italy	Portugal	CITY	ESPT-IT	189	Departed
9535790	FR	7201	LPA	VLC	2022-07-22 10:30:00	2022-07-22 09:30:00	2022-07-22 14:20:00	2022-07-22 12:20:00	Spain	Spain	DOMESTIC	ES CANARY	189	Departed
8981200	FR	3132	PFO	STN	2022-08-14 12:50:00	2022-08-14 09:50:00	2022-08-14 15:35:00	2022-08-14 14:35:00	United Kingdom	Cyprus	LEISURE	LON LEISURE	189	Departed
8989079	FR	5682	EIN	STN	2022-06-06 18:05:00	2022-06-06 16:05:00	2022-06-06 18:10:00	2022-06-06 17:10:00	United Kingdom	Netherlands	CITY	LON CITY MULTI	189	Departed
9832325	FR	820	BGY	LIS	2022-05-12 07:00:00	2022-05-12 05:00:00	2022-05-12 08:55:00	2022-05-12 07:55:00	Portugal	Italy	CITY	ESPT-IT	189	Cancelled
8947398	FR	7540	MXP	BCN	2022-08-26 16:50:00	2022-08-26 14:50:00	2022-08-26 18:20:00	2022-08-26 16:20:00	Spain	Italy	CITY	ESPT-IT	189	Departed
9743702	FR	9805	FCO	MRS	2022-06-23 08:50:00	2022-06-23 06:50:00	2022-06-23 10:15:00	2022-06-23 08:15:00	France	Italy	CITY	FR-IT	189	Departed
9165141	FR	4734	BER	BGY	2022-04-23 18:45:00	2022-04-23 16:45:00	2022-04-23 20:25:00	2022-04-23 18:25:00	Italy	Germany	CITY	DE-FRITIE	189	Cancelled
9109753	FR	7348	VIE	STN	2022-07-17 07:10:00	2022-07-17 05:10:00	2022-07-17 08:20:00	2022-07-17 07:20:00	United Kingdom	Austria	CITY	LON CITY MULTI	189	Departed
9881167	FR	9344	GOA	VIE	2022-07-03 12:55:00	2022-07-03 10:55:00	2022-07-03 14:25:00	2022-07-03 12:25:00	Austria	Italy	LEISURE	CE EUR LEISURE	189	Departed
9205203	FR	4015	BGY	PSR	2022-04-05 10:55:00	2022-04-05 08:55:00	2022-04-05 12:00:00	2022-04-05 10:00:00	Italy	Italy	DOMESTIC	MIL DOM	197	Departed
9491717	FR	6424	BLL	FMM	2022-06-18 19:05:00	2022-06-18 17:05:00	2022-06-18 20:45:00	2022-06-18 18:45:00	Germany	Denmark	CITY	SCAN N EUR	189	Departed
9206973	FR	8893	PMO	BGY	2022-09-15 22:00:00	2022-09-15 20:00:00	2022-09-15 23:45:00	2022-09-15 21:45:00	Italy	Italy	DOMESTIC	MIL DOM	189	Cancelled
9867993	FR	7645	NUE	BLQ	2022-06-06 18:05:00	2022-06-06 16:05:00	2022-06-06 19:25:00	2022-06-06 17:25:00	Italy	Germany	CITY	DE-FRITIE	197	Departed
9442663	FR	7511	BCN	VGO	2022-05-08 20:40:00	2022-05-08 18:40:00	2022-05-08 22:20:00	2022-05-08 20:20:00	Spain	Spain	DOMESTIC	BCNMAD DOM	189	Departed
8952512	FR	5485	OPO	MAD	2022-05-25 20:30:00	2022-05-25 19:30:00	2022-05-25 22:40:00	2022-05-25 20:40:00	Spain	Portugal	DOMESTIC	BCNMAD DOM	189	Departed
9456571	FR	8836	ZAG	CIA	2022-06-27 12:15:00	2022-06-27 10:15:00	2022-06-27 13:30:00	2022-06-27 11:30:00	Italy	Croatia	CITY	EAST-ESFRIT	180	Cancelled
9206065	FR	9296	PMO	BGY	2022-09-29 20:30:00	2022-09-29 18:30:00	2022-09-29 22:15:00	2022-09-29 20:15:00	Italy	Italy	DOMESTIC	MIL DOM	189	Departed
9773434	FR	4363	IBZ	BVA	2022-08-28 13:20:00	2022-08-28 11:20:00	2022-08-28 15:35:00	2022-08-28 13:35:00	France	Spain	CITY	ESPT-FR	189	Departed
9499510	FR	8696	TLV	NAP	2022-06-28 20:40:00	2022-06-28 17:40:00	2022-06-28 22:55:00	2022-06-28 20:55:00	Italy	Israel	LEISURE	S EUR LEISURE	189	Departed
9091317	FR	8559	BER	DUB	2022-08-23 18:20:00	2022-08-23 16:20:00	2022-08-23 19:45:00	2022-08-23 18:45:00	Ireland	Germany	CITY	IE CITY	189	Departed
9441037	FR	9451	TSF	DUB	2022-06-29 21:05:00	2022-06-29 19:05:00	2022-06-29 22:45:00	2022-06-29 21:45:00	Ireland	Italy	CITY	IE CITY	189	Departed
9696388	FR	9007	REU	ORK	2022-05-02 22:40:00	2022-05-02 20:40:00	2022-05-02 23:59:00	2022-05-02 22:59:00	Ireland	Spain	LEISURE	IE LEISURE	189	Departed
9023179	FR	1915	AGP	CRL	2022-04-03 15:25:00	2022-04-03 13:25:00	2022-04-03 18:05:00	2022-04-03 16:05:00	Belgium	Spain	LEISURE	BENLFR LEISURE	189	Departed
9613436	FR	8312	BGY	GDN	2022-08-10 16:30:00	2022-08-10 14:30:00	2022-08-10 18:25:00	2022-08-10 16:25:00	Poland	Italy	CITY	EAST-ESFRIT	189	Departed
9458931	FR	7299	VIE	CTA	2022-05-21 05:50:00	2022-05-21 03:50:00	2022-05-21 07:55:00	2022-05-21 05:55:00	Italy	Austria	LEISURE	CE EUR LEISURE	189	Departed
9147848	FR	4212	FRA	PMI	2022-05-08 11:10:00	2022-05-08 09:10:00	2022-05-08 13:20:00	2022-05-08 11:20:00	Spain	Germany	LEISURE	DE LEISURE	189	Cancelled
9676631	FR	3415	BDS	MXP	2022-08-04 22:10:00	2022-08-04 20:10:00	2022-08-04 23:50:00	2022-08-04 21:50:00	Italy	Italy	DOMESTIC	MIL DOM	189	Departed
9176933	FR	6701	BLQ	IBZ	2022-06-15 11:10:00	2022-06-15 09:10:00	2022-06-15 13:05:00	2022-06-15 11:05:00	Spain	Italy	LEISURE	S EUR LEISURE	197	Departed
9598533	FR	168	STN	TRS	2022-07-16 18:30:00	2022-07-16 17:30:00	2022-07-16 21:35:00	2022-07-16 19:35:00	Italy	United Kingdom	CITY	LON CITY	189	Departed
9458746	FR	7310	VIE	EFL	2022-06-07 18:25:00	2022-06-07 16:25:00	2022-06-07 21:30:00	2022-06-07 18:30:00	Greece	Austria	LEISURE	CE EUR LEISURE	189	Departed
8922841	FR	9163	BHX	BCN	2022-08-07 15:50:00	2022-08-07 14:50:00	2022-08-07 19:00:00	2022-08-07 17:00:00	Spain	United Kingdom	LEISURE	UK REG LEISURE	189	Departed
9527346	FR	6063	BLQ	BRI	2022-04-03 16:55:00	2022-04-03 14:55:00	2022-04-03 18:10:00	2022-04-03 16:10:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
8942703	FR	8842	IBZ	BCN	2022-06-02 17:00:00	2022-06-02 15:00:00	2022-06-02 17:55:00	2022-06-02 15:55:00	Spain	Spain	DOMESTIC	BCNMAD DOM	189	Departed
9697937	FR	9006	ORK	REU	2022-05-02 18:55:00	2022-05-02 17:55:00	2022-05-02 22:15:00	2022-05-02 20:15:00	Spain	Ireland	LEISURE	IE LEISURE	189	Departed
10144897	FR	7669	SKG	OTP	2022-06-14 08:50:00	2022-06-14 05:50:00	2022-06-14 10:20:00	2022-06-14 07:20:00	Romania	Greece	LEISURE	CE EUR LEISURE	189	Departed
9512924	FR	7105	BRI	FCO	2022-05-19 14:45:00	2022-05-19 12:45:00	2022-05-19 15:50:00	2022-05-19 13:50:00	Italy	Italy	DOMESTIC	ROM DOM	189	Cancelled
9158399	FR	9636	BVA	CIA	2022-04-27 18:00:00	2022-04-27 16:00:00	2022-04-27 19:55:00	2022-04-27 17:55:00	Italy	France	CITY	FR-IT	197	Departed
9422948	FR	876	STN	BZR	2022-04-13 11:15:00	2022-04-13 10:15:00	2022-04-13 14:10:00	2022-04-13 12:10:00	France	United Kingdom	CITY	LON CITY	189	Departed
9658441	FR	7189	BOD	CIA	2022-08-30 09:10:00	2022-08-30 07:10:00	2022-08-30 11:00:00	2022-08-30 09:00:00	Italy	France	CITY	FR-IT	189	Cancelled
8977783	FR	8379	SCQ	STN	2022-08-22 22:20:00	2022-08-22 20:20:00	2022-08-22 23:25:00	2022-08-22 22:25:00	United Kingdom	Spain	CITY	LON CITY	189	Departed
9165420	FR	367	MLA	CTA	2022-06-12 12:25:00	2022-06-12 10:25:00	2022-06-12 13:10:00	2022-06-12 11:10:00	Italy	Malta	LEISURE	S EUR LEISURE	189	Departed
9679708	FR	5820	CTA	VRN	2022-08-22 11:10:00	2022-08-22 09:10:00	2022-08-22 12:55:00	2022-08-22 10:55:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9853915	FR	2255	AHO	BGY	2022-09-27 15:00:00	2022-09-27 13:00:00	2022-09-27 16:15:00	2022-09-27 14:15:00	Italy	Italy	DOMESTIC	MIL DOM	197	Departed
10455593	FR	7415	TPS	NRN	2022-09-30 09:35:00	2022-09-30 07:35:00	2022-09-30 12:10:00	2022-09-30 10:10:00	Germany	Italy	LEISURE	DE LEISURE	189	Departed
8929897	FR	8539	SCQ	ALC	2022-04-04 15:45:00	2022-04-04 13:45:00	2022-04-04 17:10:00	2022-04-04 15:10:00	Spain	Spain	DOMESTIC	ESPT DOM	189	Departed
9595114	FR	8087	BHX	REU	2022-08-09 16:00:00	2022-08-09 15:00:00	2022-08-09 19:10:00	2022-08-09 17:10:00	Spain	United Kingdom	LEISURE	UK REG LEISURE	189	Departed
9156388	FR	135	CIA	BER	2022-07-10 08:55:00	2022-07-10 06:55:00	2022-07-10 11:00:00	2022-07-10 09:00:00	Germany	Italy	CITY	DE-FRITIE	189	Cancelled
9858668	FR	5655	BGY	PMI	2022-06-14 16:50:00	2022-06-14 14:50:00	2022-06-14 18:30:00	2022-06-14 16:30:00	Spain	Italy	LEISURE	S EUR LEISURE	189	Departed
9419839	FR	2902	STN	PVK	2022-06-16 09:45:00	2022-06-16 08:45:00	2022-06-16 15:00:00	2022-06-16 12:00:00	Greece	United Kingdom	LEISURE	LON LEISURE	189	Departed
9639713	FR	5582	MLA	INI	2022-08-26 06:10:00	2022-08-26 04:10:00	2022-08-26 08:00:00	2022-08-26 06:00:00	Serbia	Malta	LEISURE	CE EUR LEISURE	197	Departed
9477208	FR	2614	ATH	KTW	2022-06-19 10:25:00	2022-06-19 07:25:00	2022-06-19 11:55:00	2022-06-19 09:55:00	Poland	Greece	CITY	GREECE EURO CITY	189	Departed
9752411	FR	4351	BLQ	BDS	2022-05-10 17:10:00	2022-05-10 15:10:00	2022-05-10 18:30:00	2022-05-10 16:30:00	Italy	Italy	DOMESTIC	IT DOM	197	Departed
9105197	FR	6324	BGY	SOF	2022-09-03 12:35:00	2022-09-03 10:35:00	2022-09-03 15:30:00	2022-09-03 12:30:00	Bulgaria	Italy	CITY	EAST-ESFRIT	197	Departed
9883540	FR	9998	PMI	DUB	2022-06-08 11:40:00	2022-06-08 09:40:00	2022-06-08 13:30:00	2022-06-08 12:30:00	Ireland	Spain	LEISURE	IE LEISURE	189	Departed
9633136	FR	5145	KRK	SUF	2022-08-14 18:30:00	2022-08-14 16:30:00	2022-08-14 20:40:00	2022-08-14 18:40:00	Italy	Poland	LEISURE	CE EUR LEISURE	189	Departed
9368753	FR	419	IBZ	NCL	2022-09-14 11:15:00	2022-09-14 09:15:00	2022-09-14 13:05:00	2022-09-14 12:05:00	United Kingdom	Spain	LEISURE	UK REG LEISURE	189	Cancelled
9051274	FR	438	REU	DUB	2022-05-24 15:25:00	2022-05-24 13:25:00	2022-05-24 17:00:00	2022-05-24 16:00:00	Ireland	Spain	LEISURE	IE LEISURE	189	Departed
9082016	FR	8556	DUB	BER	2022-05-26 07:20:00	2022-05-26 06:20:00	2022-05-26 10:40:00	2022-05-26 08:40:00	Germany	Ireland	CITY	IE CITY	189	Departed
